und
oder
aber
denn
sondern
doch
jedoch
beziehungsweise
respektive
sowie
wie
als
dass
daß
weil
da
wenn
falls
sofern
ob
obwohl
obgleich
wenngleich
während
indem
dadurch dass
wodurch
damit
sodass
so dass
auf dass
als
als ob
als wenn
bevor
ehe
nachdem
seit
seitdem
seitdem dass
bis
bis dass
sobald
solange
sooft
wo
wohingegen
wobei
währenddessen
indessen
je
je desto
je umso
sofern
vorausgesetzt dass
angenommen dass
gesetzt den fall dass
im falle dass
für den fall dass
damit
um zu
auf dass
wohingegen
während
indes
hingegen
obgleich
obschon
sobald
solange
sooft
kaum dass
sowie
sobald dass
sowohl als auch
entweder oder
weder noch
nicht nur sondern auch
zwar aber
teils teils
bald bald
einerseits andererseits
je desto
je umso
so wohl als auch
insofern als
insoweit als
sofern als
zumal da
umso mehr als
vor allem da
nicht dass
ohne dass
statt dass
anstatt dass
außer dass
geschweige denn
es sei denn
sofern nicht
so lange bis
kaum dass
gleichwie
gleichsam wie
sein
bin
bist
ist
sind
seid
war
warst
waren
wart
gewesen
haben
habe
hast
hat
haben
habt
hatte
hattest
hatten
hattet
gehabt
werden
werde
wirst
wird
werden
werdet
wurde
wurden
geworden
der
die
das
dass
mit
des
auf
Sie
